comment,label,source
"Sobrang linis at ayos ang resort, top tier ang service nila.",Positive,synthetic
Sobrang pangit ng karanasan namin sa simbahan dahil sa service.,Negative,synthetic
"Terrible tanawin, complete waste of time sa heritage trail.",Negative,synthetic
"Nakakainis ang tanawin, ang tagal ng pila sa park.",Negative,synthetic
Ang heritage trail ay bukas mula alas-otso hanggang alas-singko.,Neutral,synthetic
"Ang tanawin ay hindi maganda, kailangan ng improvement sa cultural site.",Negative,synthetic
Nandito kami ngayon sa tourist spot kasama ang pamilya.,Neutral,synthetic
Dumaan lang kami sa plaza papunta sa ibang lugar.,Neutral,synthetic
"Sobrang dumi ng service, nakakadiri sa event venue.",Negative,synthetic
"Nakakainis ang parking area, ang tagal ng pila sa festival area.",Negative,synthetic
"The cultural site is beautiful, the pagkain exceeded expectations.",Positive,synthetic
"Sobrang linis at ayos ang cultural center, top tier ang crowd control nila.",Positive,synthetic
"Napakasama ng organisasyon sa church, nakakadisappoint.",Negative,synthetic
"Napabayaan ang museum, kitang-kita sa safety nila.",Negative,synthetic
May entrance fee ba sa simbahan?,Neutral,synthetic
"Underwhelming ang resort, lalo na ang staff.",Negative,synthetic
"Sakto lang ang safety, pwede na.",Neutral,synthetic
"The price at the museo was excellent, highly recommended.",Positive,synthetic
"Ganito lang talaga ang accessibility, walang masyadong pagbabago.",Neutral,synthetic
Pumunta kami sa museum noong Sabado.,Neutral,synthetic
"Hindi maayos ang service, sayang ang pera at oras.",Negative,synthetic
"Sobrang linis at ayos ang event venue, top tier ang pagkain nila.",Positive,synthetic
Ilan po ang bayad para sa staff ng plaza?,Neutral,synthetic
"Okay lang ang kalinisan, walang special pero ok naman.",Neutral,synthetic
"Okay lang ang staff, walang special pero ok naman.",Neutral,synthetic
Average lang ang experience namin sa riverside walk.,Neutral,synthetic
"Grabe ang ganda ng plaza, kahit ang signage ay astig.",Positive,synthetic
"Hindi maayos ang price, sayang ang pera at oras.",Negative,synthetic
"The kalinisan at the park was excellent, highly recommended.",Positive,synthetic
"Napakabait ng mga tao sa tourist spot, dagdag pa ang mahusay na tanawin.",Positive,synthetic
Ang landmark ay bukas mula alas-otso hanggang alas-singko.,Neutral,synthetic
"Disappointing ang banyo, hindi ko na babalikan ang cultural center.",Negative,synthetic
Nag-avail kami ng tour sa landmark kahapon.,Neutral,synthetic
"Terrible cleanliness, complete waste of time sa simbahan.",Negative,synthetic
"Well-maintained ang museo, dagdag pa ang magandang parking area.",Positive,synthetic
"Maganda ang service sa City Hall grounds, masaya kami.",Positive,synthetic
Sulit na sulit ang byahe dahil sa banyo ng park.,Positive,synthetic
"Loved the ilaw sa gabi of the riverside walk, will definitely come back.",Positive,synthetic
"Excellent parking area, courteous at mabilis ang mga tauhan sa heritage site.",Positive,synthetic
Hindi worth it ang bayad dahil sa mahinang staff.,Negative,synthetic
Ilan po ang bayad para sa tour guide ng City Hall grounds?,Neutral,synthetic
"Highly recommended ang plaza, lalo na ang guides.",Positive,synthetic
"The church is beautiful, the daan papunta exceeded expectations.",Positive,synthetic
"Okay lang ang banyo, walang special pero ok naman.",Neutral,synthetic
"Nakakatuwa ang serbisyo dito sa heritage site, sulit ang byahe.",Positive,synthetic
"Maganda ang ilaw sa gabi sa park, masaya kami.",Positive,synthetic
"Grabe ang gulo sa heritage trail, pati ang presyo sira-sira.",Negative,synthetic
Friendly at accommodating ang mga tao sa cultural site.,Positive,synthetic
"Napabayaan ang park, kitang-kita sa guides nila.",Negative,synthetic
"Napakasama ng presyo sa park, nakakadisappoint.",Negative,synthetic
"Terrible crowd control, complete waste of time sa simbahan.",Negative,synthetic
"The riverside walk is beautiful, the wifi signal exceeded expectations.",Positive,synthetic
"Ang galing ng organisasyon, proud kami sa resort namin.",Positive,synthetic
"Solid ang kaligtasan, kaya naman worth it ang pagpunta sa heritage trail.",Positive,synthetic
"The banyo at the festival area was excellent, highly recommended.",Positive,synthetic
"Grabe ang gulo sa plaza, pati ang price sira-sira.",Negative,synthetic
Average lang ang experience namin sa park.,Neutral,synthetic
"Ang galing ng cleanliness, proud kami sa cultural center namin.",Positive,synthetic
"Hindi maayos ang serbisyo, sayang ang pera at oras.",Negative,synthetic
Nag-avail kami ng tour sa City Hall grounds kahapon.,Neutral,synthetic
"Solid ang kalinisan, kaya naman worth it ang pagpunta sa plaza.",Positive,synthetic
"Sobrang linis at ayos ang tourist spot, top tier ang safety nila.",Positive,synthetic
Sulit na sulit ang byahe dahil sa tanawin ng cultural center.,Positive,synthetic
"Sakto lang ang kalinisan, pwede na.",Neutral,synthetic
"Maganda ang facilities sa resort, masaya kami.",Positive,synthetic
"The price at the park was excellent, highly recommended.",Positive,synthetic
"Solid ang signage, kaya naman worth it ang pagpunta sa heritage trail.",Positive,synthetic
Ang saya ng buong pamilya dahil sa accessibility ng event venue.,Positive,synthetic
"Napabayaan ang plaza, kitang-kita sa parking nila.",Negative,synthetic
"Solid ang serbisyo, kaya naman worth it ang pagpunta sa riverside walk.",Positive,synthetic
"Sakto lang ang view, pwede na.",Neutral,synthetic
Sobrang pangit ng karanasan namin sa museum dahil sa parking area.,Negative,synthetic
"Poor crowd control at the heritage trail, would not recommend.",Negative,synthetic
"Ganito lang talaga ang serbisyo, walang masyadong pagbabago.",Neutral,synthetic
"Ganito lang talaga ang pagkain, walang masyadong pagbabago.",Neutral,synthetic
Sulit na sulit ang byahe dahil sa staff ng event venue.,Positive,synthetic
"Ang kaligtasan ay hindi maganda, kailangan ng improvement sa tourist spot.",Negative,synthetic
"Ang galing ng guides, proud kami sa heritage site namin.",Positive,synthetic
"Medyo ordinary lang ang park, walang masyadong kaibahan.",Neutral,synthetic
"Sobrang linis at ayos ang museo, top tier ang service nila.",Positive,synthetic
Overpriced pero mababa ang kalidad ng kapaligiran.,Negative,synthetic
"Poor food at the museo, would not recommend.",Negative,synthetic
"Medyo ordinary lang ang heritage site, walang masyadong kaibahan.",Neutral,synthetic
Nag-avail kami ng tour sa church kahapon.,Neutral,synthetic
"Disappointing ang presyo, hindi ko na babalikan ang cultural center.",Negative,synthetic
"Sobrang linis at ayos ang resort, top tier ang parking area nila.",Positive,synthetic
"Sobrang dumi ng food, nakakadiri sa museum.",Negative,synthetic
"Hindi maayos ang food, sayang ang pera at oras.",Negative,synthetic
Rude at bastos ang mga tauhan sa cultural site.,Negative,synthetic
"Medyo ordinary lang ang cultural center, walang masyadong kaibahan.",Neutral,synthetic
Dumaan lang kami sa tourist spot papunta sa ibang lugar.,Neutral,synthetic
"Sakto lang ang guides, pwede na.",Neutral,synthetic
"Solid ang view, kaya naman worth it ang pagpunta sa festival area.",Positive,synthetic
"Napabayaan ang City Hall grounds, kitang-kita sa pagkain nila.",Negative,synthetic
Rude at bastos ang mga tauhan sa museo.,Negative,synthetic
Rude at bastos ang mga tauhan sa festival area.,Negative,synthetic
The tourist spot has signage that is neither good nor bad.,Neutral,synthetic
"The event venue is beautiful, the serbisyo exceeded expectations.",Positive,synthetic
Ang saya ng buong pamilya dahil sa banyo ng cultural site.,Positive,synthetic
"Underwhelming ang City Hall grounds, lalo na ang service.",Negative,synthetic
"Well-maintained ang plaza, dagdag pa ang magandang parking.",Positive,synthetic
"Grabe ang gulo sa festival area, pati ang staff sira-sira.",Negative,synthetic
The simbahan has presyo that is neither good nor bad.,Neutral,synthetic
Sulit na sulit ang byahe dahil sa guides ng plaza.,Positive,synthetic
"Napabayaan ang heritage trail, kitang-kita sa crowd control nila.",Negative,synthetic
Average lang ang experience namin sa cultural center.,Neutral,synthetic
Ilan po ang bayad para sa presyo ng tourist spot?,Neutral,synthetic
May tanong ako tungkol sa kapaligiran ng park.,Neutral,synthetic
"Napakabait ng mga tao sa museo, dagdag pa ang mahusay na kapaligiran.",Positive,synthetic
Hindi worth it ang bayad dahil sa mahinang service.,Negative,synthetic
Average lang ang experience namin sa museo.,Neutral,synthetic
"Solid ang safety, kaya naman worth it ang pagpunta sa heritage trail.",Positive,synthetic
Sobrang pangit ng karanasan namin sa festival area dahil sa kaligtasan.,Negative,synthetic
"Napakaayos ng price, babalik pa kami sa cultural site.",Positive,synthetic
"Napakabait ng mga tao sa heritage trail, dagdag pa ang mahusay na parking area.",Positive,synthetic
"Nakakatuwa ang ilaw sa gabi dito sa City Hall grounds, sulit ang byahe.",Positive,synthetic
"Grabe ang ganda ng park, kahit ang tour guide ay astig.",Positive,synthetic
Nagtanong kami sa staff tungkol sa schedule ng landmark.,Neutral,synthetic
"Napabayaan ang museo, kitang-kita sa pagkain nila.",Negative,synthetic
Friendly at accommodating ang mga tao sa park.,Positive,synthetic
