id,comment,expected
168,"Mabait ang mga tao dito, napakaasikaso.",Positive
159,"It's fine, nothing extraordinary but not bad either.",Neutral
220,Overpriced at hindi naman sulit ang bayad.,Negative
240004,tangina shit ang ganda,Positive
90004,Not good not satisfied,Negative
247,okay lang wala namang bago sakto lang,Neutral
186,"Amazing view, breathtaking talaga ang lugar ????",Positive
245,okay lang wala namang bago sakto lang,Neutral
196,"Sobrang linis at ayos ng paligid, top-notch!",Positive
10257,pumunta kami nung sabado,Neutral
201,"Peaceful and quiet, perfect for reflection.",Positive
177,"Napakasaya ng bata ko dito, fun talaga!",Positive
182,"Maganda ang lugar, accessible din sa commute.",Positive
250,okay naman dito hindi gaanong maganda at panget,Neutral
232,"Sobrang dumi ng banyo, nakakadiri.",Negative
10255,Ang bagal ng serbisyo at sobrang dumi ng CR. Hindi na ako babalik.,Negative
163,"Mabait ang mga tao dito, napakaasikaso.",Positive
240006,The park once a neatly place but now it was now so dirty.,Negative
136,"Sobrang crowded, hindi na kasya ang mga bisita.",Negative
218,"Stunning architecture, kaayaaya sa mata.",Positive
32,this is good place,Positive
156,Average experience overall.,Neutral
148,"This place is a must-visit, iconic landmark ng Mandaluyong.",Positive
184,"Peaceful and quiet, perfect for reflection.",Positive
158,Masarap ang pagkain at maganda ang ambiance.,Positive
215,"Napakasaya ng bata ko dito, fun talaga!",Positive
155,"Waste of time and money, hindi worth it.",Negative
226,Solid trip! Would recommend to friends and family.,Positive
193,"Rude ang staff, hindi ko na babalikan ito.",Negative
167,"Maayos ang serbisyo, mabilis din ang staff.",Positive
165,"Sobrang crowded, hindi na kasya ang mga bisita.",Negative
244,"okay lang, pwede na",Neutral
203,"Medyo ordinary lang, walang special.",Neutral
15,maayos malinis,Positive
147,Overpriced at hindi naman sulit ang bayad.,Negative
10254,"Sobrang ganda ng simbahan, ang bait ng mga staff. Babalik ako ulit.",Positive
149,"Mabagal ang serbisyo, matagal kami naghintay.",Negative
213,"Sobrang linis at ayos ng paligid, top-notch!",Positive
190,"Napakasaya ng bata ko dito, fun talaga!",Positive
216,"Maganda ang lugar, accessible din sa commute.",Positive
154,"Sobrang ganda ng tanawin dito, babalik ako ulit.",Positive
229,"Napakasaya ng bata ko dito, fun talaga!",Positive
8,good abiance,Positive
197,Average experience overall.,Neutral
17,walang kwenta,Negative
28,walang bitaw,
141,"Mabait ang mga tao dito, napakaasikaso.",Positive
180002,Nothing is enjoyable,Negative
200,"Ang friendly ng staff, helpful sila lahat.",Positive
169,Very clean and well-maintained heritage site.,Positive
157,"Bastos ang guard, hindi ako babalik dito.",Negative
248,okay naman hindi maganda at panget tama lang,Neutral
198,"Napakasikip ng parking area, nakakainis.",Negative
166,"Medyo ordinary lang, walang special.",Neutral
236,ang panget pota,Negative
224,"This place is a must-visit, iconic landmark ng Mandaluyong.",Positive
160,"Ang friendly ng staff, helpful sila lahat.",Positive
270008,noisy surroundings.,Negative
188,"Bastos ang guard, hindi ako babalik dito.",Negative
145,"Sakto lang, hindi masyadong maganda o pangit.",Neutral
7,i love this church!,Positive
138,"Sobrang crowded, hindi na kasya ang mga bisita.",Negative
174,"Sobrang ganda ng tanawin dito, babalik ako ulit.",Positive
238,okay naman dinaman masyadong panget,Neutral
33,napaganda nito,Positive
60004,Goodmorning emman,
144,"Mabagal ang serbisyo, matagal kami naghintay.",Negative
194,"Sobrang ganda ng tanawin dito, babalik ako ulit.",Positive
