comment,label,source
Nagpunta kami dito nung Linggo ng umaga.,Neutral,synthetic_v2
Bukas daw sila ng alas-sais ng umaga base sa signage.,Neutral,synthetic_v2
"May tanong lang po ako, may parking ba dito?",Neutral,synthetic_v2
Dalawang oras yung buong tour namin.,Neutral,synthetic_v2
Nasa tabi lang ng city hall yung lugar.,Neutral,synthetic_v2
Nakita ko sa app yung schedule ng misa.,Neutral,synthetic_v2
"Sakto lang naman, hindi masyadong matao nung pumunta kami.",Neutral,synthetic_v2
Katamtaman lang ang laki ng simbahan.,Neutral,synthetic_v2
Pang-ilang beses na namin ito napuntahan.,Neutral,synthetic_v2
Nagtanong kami sa guard kung saan yung entrance.,Neutral,synthetic_v2
"Wala akong masabi, ganun lang talaga siya.",Neutral,synthetic_v2
Hindi ko pa natapos yung buong trail.,Neutral,synthetic_v2
Anong oras po ba nagsasara dito?,Neutral,synthetic_v2
Naabutan namin yung event pero patapos na.,Neutral,synthetic_v2
"Karaniwang lugar lang, katulad ng ibang parke.",Neutral,synthetic_v2
Nag-check in lang kami sandali tapos umalis na.,Neutral,synthetic_v2
May mga upuan sa labas at may maliit na tindahan.,Neutral,synthetic_v2
Pumila kami ng mga sampung minuto.,Neutral,synthetic_v2
Kasama ko yung mga kaklase ko nung nag-visit kami.,Neutral,synthetic_v2
Nasa gitna ng lungsod kaya madaling puntahan.,Neutral,synthetic_v2
"ok lng nmn, wla akong masabi",Neutral,synthetic_v2
Pareho lang siya nung huli kong punta.,Neutral,synthetic_v2
May mga bagong poster sa loob.,Neutral,synthetic_v2
Nagtatanong lang po kung may senior discount.,Neutral,synthetic_v2
Naglakad kami mula sa MRT papunta dito.,Neutral,synthetic_v2
Medyo maliit yung parking pero nakahanap din kami.,Neutral,synthetic_v2
"Ganun pa rin naman siya, walang bago.",Neutral,synthetic_v2
Isang oras lang kami dun.,Neutral,synthetic_v2
Nakuha ko yung certificate pagkatapos ng check-in.,Neutral,synthetic_v2
May libreng tubig sa may entrance.,Neutral,synthetic_v2
Sabado kami pumunta kaya medyo matao.,Neutral,synthetic_v2
Hindi ko sure kung araw-araw silang bukas.,Neutral,synthetic_v2
Nasa second floor daw yung museum part.,Neutral,synthetic_v2
Nagpa-picture lang kami sandali.,Neutral,synthetic_v2
Naka-schedule pa yung misa nung dumating kami.,Neutral,synthetic_v2
"Wala akong masyadong napansin, normal lang.",Neutral,synthetic_v2
"Sakto lang yung presyo, hindi mahal hindi mura.",Neutral,synthetic_v2
Sinabi ng staff na 5pm ang huling entry.,Neutral,synthetic_v2
Pumunta ako mag-isa nung Miyerkules.,Neutral,synthetic_v2
Nasa harap ng barangay hall yung marker.,Neutral,synthetic_v2
May mga estudyante na nag-aaral sa loob.,Neutral,synthetic_v2
Tatlong lugar lang ang napuntahan namin.,Neutral,synthetic_v2
Nabasa ko lang sa app kaya ako pumunta.,Neutral,synthetic_v2
May maliit na garden sa likod.,Neutral,synthetic_v2
Hindi ko na naabutan yung program.,Neutral,synthetic_v2
Nagsimula ang event ng alas-nuwebe.,Neutral,synthetic_v2
Nag-park kami sa kabilang kalye.,Neutral,synthetic_v2
Hindi ko alam kung may bayad pala.,Neutral,synthetic_v2
Katamtaman lang ang dami ng tao nung hapon.,Neutral,synthetic_v2
Nagtanong ako sa info desk tungkol sa schedule.,Neutral,synthetic_v2
May mga bagong upuan sa loob ngayon.,Neutral,synthetic_v2
Sakto lang ang laki para sa amin.,Neutral,synthetic_v2
Nakita namin yung historical marker sa gilid.,Neutral,synthetic_v2
Dalawang beses kaming bumalik para makuha yung stamp.,Neutral,synthetic_v2
Wala namang nagbago simula noong huli kaming pumunta.,Neutral,synthetic_v2
Papunta lang kami sa ibang lugar kaya dumaan kami dito.,Neutral,synthetic_v2
May bantay sa gate pero pinapasok naman kami agad.,Neutral,synthetic_v2
Kagaya rin ng ibang simbahan sa lugar.,Neutral,synthetic_v2
Nag-aayos sila ng dekorasyon nung nandoon kami.,Neutral,synthetic_v2
May tanong ako kung pwede bang mag-picture sa loob.,Neutral,synthetic_v2
"Ang linis ng CR, hindi ko inaasahan!",Positive,synthetic_v2
"sobrang bait ng staff dto, salamat po",Positive,synthetic_v2
"Ang sarap ng hangin sa parke, nakaka-relax talaga.",Positive,synthetic_v2
"Napaka-organisado ng event, walang gulo.",Positive,synthetic_v2
"Ang ganda ng lumang simbahan, parang bumalik sa nakaraan.",Positive,synthetic_v2
"Worth the trip talaga, babalik kami next month.",Positive,synthetic_v2
"Grabe yung view sa taas, ang sarap tignan.",Positive,synthetic_v2
"Mabilis lang yung proseso, hindi kami naghintay ng matagal.",Positive,synthetic_v2
"Malinis at tahimik, perfect para magdasal.",Positive,synthetic_v2
"Napakaganda ng ilaw sa gabi, sulit yung pagpunta.",Positive,synthetic_v2
"Ang bait ng tour guide, sinagot lahat ng tanong namin.",Positive,synthetic_v2
"Masaya yung mga bata sa playground, ang linis pa.",Positive,synthetic_v2
Napakaganda ng restoration nila sa lumang gusali.,Positive,synthetic_v2
Presyong abot-kaya at ang sarap ng pagkain.,Positive,synthetic_v2
"gnda ng lugar sobra, recommended!",Positive,synthetic_v2
Maayos ang daloy ng tao kahit maraming bisita.,Positive,synthetic_v2
"Ang ganda ng arkitektura, halata ang pag-aalaga.",Positive,synthetic_v2
"Napansin ko na malinis lahat ng basurahan, maayos.",Positive,synthetic_v2
"Ang galing ng programa, natuto kami sa kasaysayan.",Positive,synthetic_v2
"Sobrang friendly ng mga tao dito, hindi kami nailang.",Positive,synthetic_v2
"Ang sarap ng kape sa cafe sa tabi, sulit din.",Positive,synthetic_v2
Nakakabilib yung pag-aalaga nila sa heritage site.,Positive,synthetic_v2
"Napakadali ng check-in gamit ang app, walang abala.",Positive,synthetic_v2
"Maganda ang paligid at maraming puno, presko.",Positive,synthetic_v2
Ang bilis ng serbisyo kahit maraming tao.,Positive,synthetic_v2
"Sulit ang paglalakad, ang ganda ng bawat hinto.",Positive,synthetic_v2
"Napaka-informative ng mga signage, madaling sundan.",Positive,synthetic_v2
"Ang ayos ng lighting sa loob, angkop sa lugar.",Positive,synthetic_v2
"Salamat sa mabait na guard, tinulungan niya kami.",Positive,synthetic_v2
"Perfect para sa family outing, marami kaming natutunan.",Positive,synthetic_v2
"Ang baho ng palikuran, hindi nalilinis.",Negative,synthetic_v2
"Sobrang init sa loob, walang bentilasyon.",Negative,synthetic_v2
"Wala man lang tubig sa CR, nakakainis.",Negative,synthetic_v2
"Ang gulo ng daan papasok, walang malinaw na direksyon.",Negative,synthetic_v2
Masyadong mahal ang entrance para sa ganitong lugar.,Negative,synthetic_v2
"Bastos yung tauhan sa gate, hindi marunong makipag-usap.",Negative,synthetic_v2
"Sirang-sira na yung mga upuan, delikado pa.",Negative,synthetic_v2
"Sobrang haba ng pila, halos dalawang oras kami naghintay.",Negative,synthetic_v2
"Madumi yung paligid, maraming basura sa gilid.",Negative,synthetic_v2
Walang tumutulong kahit halatang naguguluhan kami.,Negative,synthetic_v2
"Ang ingay ng construction sa tabi, hindi kami mapakali.",Negative,synthetic_v2
"Pangit ang pag-aalaga sa lumang gusali, halos giba na.",Negative,synthetic_v2
"Hindi gumagana yung ilaw sa gabi, delikado maglakad.",Negative,synthetic_v2
"Sobrang liit ng parking, umikot pa kami ng matagal.",Negative,synthetic_v2
dme lngaw sa loob nakakadiri,Negative,synthetic_v2
"Walang nagbabantay sa mga bata, hindi ligtas.",Negative,synthetic_v2
Mabagal ang serbisyo kahit kaunti lang ang tao.,Negative,synthetic_v2
Nasira yung araw namin dahil sarado pala.,Negative,synthetic_v2
Hindi tumugma yung schedule sa app sa totoong oras.,Negative,synthetic_v2
Nagmumura yung staff sa harap ng mga bisita.,Negative,synthetic_v2
Amoy kalawang at basa yung sahig sa loob.,Negative,synthetic_v2
Walang maayos na signage kaya naligaw kami.,Negative,synthetic_v2
"Nakakadismaya ang kalagayan ng heritage marker, kalawangin na.",Negative,synthetic_v2
"Sobrang siksikan, hindi na kami makagalaw.",Negative,synthetic_v2
"Hindi worth it yung binayad namin, kulang ang pasilidad.",Negative,synthetic_v2
Nagtaas sila ng presyo pero wala namang pinagbago.,Negative,synthetic_v2
"Puro alikabok sa loob, mukhang matagal nang hindi nalilinis.",Negative,synthetic_v2
Ang sama ng ugali ng nag-aasikaso sa amin.,Negative,synthetic_v2
"Delikado yung hagdan, walang hawakan.",Negative,synthetic_v2
"Hindi na kami babalik, sayang lang ang oras.",Negative,synthetic_v2
